BeerBrand,BeerType,AlcoholPercentage,Brewery,
La Barbiot Ambrée,hoge gisting,"9,50%",Brasserie la Barbiot,?-?
La Barbiot Blonde,hoge gisting,"8,00%",Brasserie la Barbiot,?-?
La Binchoise Blonde,"hoge gisting, blond","6,20%",Brouwerij La Binchoise,1987-heden
La Binchoise Brune,hoge gisting,"7,70%",Brouwerij La Binchoise,1987-heden
La Binchoise Organic’ Brune,"hoge gisting, biologisch","7,00%",Brouwerij La Binchoise,2011-heden
La Binchoise Organic’ Miel,"hoge gisting, biologisch, honingbier","8,50%",Brouwerij La Binchoise,2011-heden
La Binchoise Organic’ Triple,"hoge gisting, biologisch, tripel","8,50%",Brouwerij La Binchoise,2011-heden
La Binchoise Spéciale Noël,"hoge gisting, kerstbier","9,00%",Brouwerij La Binchoise,?-heden
La Binchoise Triple,"hoge gisting, tripel","8,50%",Brouwerij La Binchoise,?-heden
La Binchoise XO,hoge gisting,"12,00%",Brouwerij La Binchoise,?-heden
La Botteresse Ambrée,hoge gisting,"8,50%",Brasserie la Botteresse de Sur-les-bois,1997-heden
La Botteresse de Noël,"hoge gisting, kerstbier","10,50%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Botteresse Blonde,hoge gisting,"7,50%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Botteresse Brune,hoge gisting,"9,50%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Botteresse aux cerises,"hoge gisting, fruitbier","5,50%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Botteresse Ambrée au miel,"hoge gisting, honingbier","8,50%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Botteresse aux pommes,"hoge gisting, fruitbier","5,40%",Brasserie la Botteresse de Sur-les-bois,?-heden
La Blanche des Saisis,witbier,"6,20%",Brasserie Ellezelloise,1995-heden
La Bouillonnaise,"bruin, hoge gisting","7,00%",Brasserie de Bouillon,1998-heden
La Chérie,fruitbier,"5,00%",Brasserie Val de Sambre,La Blanche des Saisis
La Chèvenis,hoge gisting,"6,00%",Brasserie de Bouillon,La Blanche des Saisis
La Chouffe,"blond, hoge gisting","8,00%",Brouwerij d'Achouffe (Duvel-Moortgat),1982-heden
La Corne du Bois des Pendus Blonde,"hoge gisting, blond","5,90%",Brasserie d'Ebly,2010-heden
La Corne du Bois des Pendus Triple,"hoge gisting, triple","7,00%",Brasserie d'Ebly,2010-heden
La Cré Tonnerre,"hoge gisting, tripel","7,00%",Brasserie de Silly,?-?
La Divine,"hoge gisting, amber","9,50%",Brasserie de Silly,?-?
La Djean Triple,amber,"9,00%",Brasserie Sainte-Hélène,2005-heden
La Douce Vertus,"hoge gisting, ale","7,00%",Brasserie Millevertus,?-?
La Fumette,"hoge gisting, Rauchbier","6,50%",Brasserie Millevertus,?-heden
La Gueularde,"hoge gisting, blond","8,00%",Cafés Preko,?-?
La Grognarde,hoge gisting,"5,50%",Brasserie Sainte-Hélène,?-?
La Guillotine,sterk blond,"8,50%",Brouwerij Huyghe,1989-heden
La Jamboise de Bister,bleek blond,"6,50%",Brouwerij Lefebvre,?-?
La Loubécoise,"donker, hoge gisting","8,00%",Brasserie d'Ecaussinnes,2004-heden
La Mac Vertus,stout,"4,80%",Brasserie Millevertus,?-?
La Médiévale,"amber, hoge gisting","6,00%",Brasserie de Bouillon,1998-heden
La Mère Vertus,tripel,"7,00%",Brasserie Millevertus,?-?
La Moneuse,"saison, amber","8,00%",Brasserie de Blaugies,1988-heden
La Moneuse Spéciale Noël,"saison, bruin, hoge gisting","8,00%",Brasserie de Blaugies,1993-heden
La Moraipire,tripel,"8,50%",Brasserie Millevertus,?-?
La Namuroise,hoge gisting,"7,00%",Les Artisans Brasseurs,?-?
La Noire Fontaine,hoge gisting,"8,00%",Brasserie de Bouillon,?-?
La Penneffoise,fruitbier,"8,00%",Brasserie d'Ecaussinnes,?-?
La Pils des 3 Canaux,pils,"4,50%",Authentique Brasserie,?-?
La Poiluchette Blonde Cuvéé du Château,hoge gisting,"7,50%",Brouwerij Huyghe,?-?
La Poiluchette Brune,hoge gisting,"7,50%",Brouwerij Huyghe,?-?
La Poirette de Fontaine,"hoge gisting, fruibier","8,50%",Brasserie la Botteresse de Sur-les-bois,?-?
La Prime,"hoge gisting, winterbier","8,50%",Brasserie Sainte-Hélène,?-?
La Rulles Blonde,hoge gisting,"7,00%",Brasserie Artisanale de Rulles,2000-heden
La Rulles Brune,hoge gisting,"6,50%",Brasserie Artisanale de Rulles,2001-heden
La Rulles Cuvée Meilleurs Vœux,"hoge gisting, winterbier","7,30%",Brasserie Artisanale de Rulles,2005-heden
La Rulles Estivale,hoge gisting,"5,20%",Brasserie Artisanale de Rulles,2005-heden
La Rulles La Grande 10,"hoge gisting, Belgian strong pale ale","10,00%",Brasserie Artisanale de Rulles,
La Rulles Triple,"hoge gisting, tripel","8,40%",Brasserie Artisanale de Rulles,2010-heden
La Safranaise,"hoge gisting, kruidenbier","7,00%",Brasserie Millevertus,?-?
La Saison de Pipaix,,"6,00%",Brasserie à Vapeur,?-?
La Saison des Chasses Ambrée,saison,"7,00%",Brasserie de Bouillon,?-?
La Saison des Chasses Blonde,saison,"6,00%",Brasserie de Bouillon,?-?
La Sambresse Blonde,hoge gisting,"8,00%",Brouwerij Brootcoorens,?-?
La Spéciale Fêtes,winterbier,"8,50%",Brasserie de Bouillon,?-?
La Trompeuse,hoge gisting,"6,90%",Brasserie Jean Tout Seul,?-heden
La Troufette Belle d'été,hoge gisting,"6,00%",Brasserie de Bastogne,
La Troufette Blonde,hoge gisting,"6,00%",Brasserie de Bastogne,2008-heden
La Troufette Brune,"hoge gisting, winterbier","6,80%",Brasserie de Bastogne,2008-heden
La Troufette Givrée,hoge gisting,"8,00%",Brasserie de Bastogne,?-heden
La Troufette Rousse,hoge gisting,"7,80%",Brasserie de Bastogne,?-heden
La Vauban,abdijbier,"6,00%",Brasserie de Bouillon,?-?
La Vapeur en Folie,,"8,00%",Brasserie à Vapeur,?-heden
La Vapeur Légère,,"5,00%",Brasserie à Vapeur,?-heden
La Vermontoise,saison,"6,00%",Brasserie de Blaugies,?-?
La Waterlootoise,tripel,"9,00%",Brouwerij Van Steenberge,?-?
Lam Gods 33cl,bruin dubbel,"6,80%",Brouwerij Van Steenberge voor Brouwerij Paeleman,2007?-heden
Lam Gods 75cl,bruin dubbel,"8,00%",Brouwerij Van Steenberge voor Brouwerij Paeleman,2007?-heden
L’Amarante,"hoge gisting, kruidenbier","8,00%",Brasserie Millevertus,?-?
Lambinus,"hoge gisting, honingbier","8,00%",De Proefbrouwerij voor bierfirma Lesage,2006-heden
Lamme Goedzak,hoge gisting,"7,00%",De Scheldebrouwerij,1995-heden
Lamoral Degmont,"hoge gisting, amberblond","8,00%",Brouwerij Van Den Bossche,?-?
Ledeberg Tripel,tripel,"6,00%",Brouwerij Van Steenberghe,2003
Leeuw Pilsener,pilsener,"5,00%",Brouwerij Haacht,?-heden
Leeuwse Witte,witbier,"5,00%",Affligem Brouwerij (Brouwerij De Smedt),?-heden
Leffe Blond,"blond, abdijbier","6,60%",AB InBev (vroeger Brouwerij van Lootvoet en Brouwerij Artois),1976-heden
Leffe Bruin,"bruin, abdijbier","6,50%",AB InBev (vroeger Brouwerij van Lootvoet en Brouwerij Artois),1952-heden
Leffe Des Vignes,abdijbier,"5,00%",AB InBev,2015-heden
Leffe Kerst,"kerstbier, abdijbier","6,50%",AB InBev,2008-heden
Leffe Lente,abdijbier,"6,50%",AB InBev,2011-heden
Leffe Nectar,abdijbier,"5,50%",AB InBev,2012-heden
Leffe Radieuse,abdijbier,"8,20%",AB InBev (vroeger Brouwerij van Lootvoet en Brouwerij Artois),1973-heden
*Leffe Royale*,"blond, abdijbier","7,50%",AB InBev,2012-2015
Leffe Royale Whitbread Golding,"blond, abdijbier","7,50%",AB InBev,2015-heden
Leffe Royale Casade IPA,IPA abdijbier,"7,50%",AB InBev,?-heden
Leffe Royale Mapuche,abdijbier,"7,50%",AB InBev,?-heden
Leffe Royale Mout Hood,abdijbier winterbier,"7,50%",AB InBev,?-heden
Leffe Royale Crystal,abdijbier zomerbier,"7,50%",AB InBev,?-heden
Leffe Ruby,"fruitbier, abdijbier","6,50%",AB InBev,2011-heden
Leffe Tripel,"tripel, abdijbier","8,40%","AB InBev (vroeger Brouwerij van Lootvoet, Brouwerij Artois, Brasserie du 
Bocq in Purnode en Brouwerij van Hoegaarden)(vroeger Brouwerij van Lootvoet 
en Brouwerij Artois)",1954-heden
Leffe Vieille Cuvée,Amber,"8,20%",AB InBev (vroeger Brouwerij van Lootvoet en Brouwerij Artois),1956-heden
Leffe 9°,hoge gisting,"9,00%",AB InBev,2015-heden
Leireken Boekweit Blond,"amber, hoge gisting, boekweit, biologisch","6,00%",Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux),?-?
Leireken Boekweit Bruin,"bruin, hoge gisting, boekweit, biologisch","6,00%",Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux),?-?
Leireken Lager Bio,"pils, biologisch","5,20%",Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux),?-?
Leireken Wilde Vruchten,"fruitbier, hoge gisting, biologisch","5,20%",Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux),?-?
Leireken Witte Spelt,"blond, hoge gisting, spelt","5,00%",Brouwerij Strubbe voor Guldenboot nv (vroeger Brasserie de Silenrieux),?-?
L'Enfant Terrible,"hoge gisting, oak aged","7,00%",Brouwerij De Dochter van de Korenaar,?-?
Le Pavé de l'Ours,"hoge gisting, speciale belge","7,50%",Brasserie de Silenrieux,2006-heden
Lesage Blond,"hoge gisting, tripel","7,00%",De Proefbrouwerij voor bierfirma Lesage,?-heden
Lesage Dubbel,hoge gisting,"7,50%",De Proefbrouwerij voor bierfirma Lesage,2011-hede
Leute Bokbier,"roodbruin, hoge gisting","7,50%",Brouwerij Van Steenberge,1927-heden
Li Berwette,"amber, hoge gisting","8,00%",Brasserie Saint-Monon voor Confrérie du Busson,2001-heden
Li Berwette di Noyè,donker kerstbier,"8,50%",Brasserie Saint-Monon voor Confrérie du Busson,?-heden
Li P'tite Gayoûle,saison,"5,50%",Brouwerij De Ranke voor NovaBirra,?-?
Liefmans Cuvée-Brut,fruitbier,"6,00%",Brouwerij Liefmans,?-2015
*Liefmans Frambozenbier*,fruitbier,"5,40%",Brouwerij Liefmans,?-?
Liefmans Fruitesse Rood,fruitbier,"4,20%",Brouwerij Liefmans,?-heden
Liefmans Goudenband,bruin,"8,00%",Brouwerij Liefmans,1956-heden
*Liefmans Ijzerenband*,bruin,"8,00%",Brouwerij Liefmans,?-1956
*Liefmans Kriek*,bruin,"6,00%",Brouwerij Liefmans,?-?
*Liefmans Kriek Brute*,bruin,"6,00%",Brouwerij Liefmans,2015-heden
Liefmans Oud Bruin,oud bruin,"5,00%",Brouwerij Liefmans,?-?
Liene,"amber, tripel","7,00%",t Hofbrouwerijke in opdracht van Brouwerij Het Nest,2011-heden
Liers Kerstbier,"amber, kerstbier","6,00%",Brouwerij Strubbe voor stad Lier,2007-heden
Lily Blue,hoge gisting,"7,50%",Brasserie Sainte-Hélène,
Limburgse Witte,hoge gisting,"5,00%",Brouwerij Sint-Jozef,?-?
Limerick,blond,"8,00%",De Proefbrouwerij voor bierfirma Bas-bieren,2009-heden
Lindemans Apple,lambiek,"3,50%",Brouwerij Lindemans,2005-heden
Lindemans Cassis,Fruitbier,"3,50%",Brouwerij Lindemans,1986-heden
Lindemans Framboise,lambiek,"2,50%",Brouwerij Lindemans,1980-heden
Lindemans Kriek,kriek,"4,00%",Brouwerij Lindemans,?-heden
Lindemans Pecheresse,fruitbier,"2,50%",Brouwerij Lindemans,1987-heden
Liter van Pallieter,tripel,"8,00%",Microbrouwerij Achilles,2008-heden
Living Tripel,tripel,"9,00%",De Proefbrouwerij,?-?
Livinus,"blond, hoge gisting","10,00%",Brouwerij Van den Bossche,?-?
Livinus Blonde,tripel,"10,00%",Brouwerij Van Eecke,1964-heden (e ?-?)
Livinus Brune,donker,"9,00%",Brouwerij Van Eecke,?-? (e ?-?)
*Lokernaere*,etiketbier,"5,50%",Brouwerij Het Sas,1989-heden (e 1995-?)
Loterbol 6°,hoge gisting,"6,00%",Brouwerij Loterbol,1995-heden
Loterbol Blond,hoge gisting,"8,00%",Brouwerij Loterbol,2002-heden
Loterbol Bruin,hoge gisting,"8,00%",Brouwerij Loterbol,2002-heden
Lou Pepe,geuze,"5,00%",Brasserie Cantillon,1998-heden
Lousberg,tripel,"8,00%",De Proefbrouwerij voor Het Hinkelspel,?-?
Louwaege Dubbel Blond,tafelbier,"1,40%",Brouwerij Louwaege,?-?
Louwaege Faro,tafelbier,"1,40%",Brouwerij Louwaege,?-?
*Louwaege's Kriek*,kriek,"4,30%",Brouwerijen Alken-Maes,2002-heden (e 2002-2005)
Louwaege Stout,stout,"4,80%",Brouwerij Louwaege,?-?
Lozen Boer,"hoge gisting, quadrupel","10,00%",De Proefbrouwerij voor de familie Neyt,?-heden
*Lozen Boer Abt*,"hoge gisting, quadrupel","10,00%",De Proefbrouwerij voor de familie Neyt,?-?
Lozen Boer Excellence,"hoge gisting, quadrupel","10,00%",De Proefbrouwerij voor de familie Neyt,?-heden
*Lozen Boer Cuvée Juchepie*,"hoge gisting, quadrupel","10,00%",De Proefbrouwerij voor de familie Neyt,2012-2012
*Lucifer*,"amber, hoge gisting","8,40%",Brouwerij Vondel,?-1957
Lucifer,"blond, hoge gisting","8,40%",Brouwerij Het Anker (vroeger in Brouwerij Riva en Brouwerij Liefmans),80-heden
Lupulus Blonde,hoge gisting,"8,50%",Brasserie les 3 Fourquets,2008-heden
Lupulus Brune,tripel,"8,50%",Brasserie les 3 Fourquets,2010-2010 en 2012-heden
Lupulus Hibernatus,bruin,"9,00%",Brasserie les 3 Fourquets,?-?
Lupulus Organicus,blond bio,"8,50%",Brasserie les 3 Fourquets,?-?
Lupulus Hopera,blond,"6,00%",Brasserie les 3 Fourquets,?-?
Lupulus Special Brew 2012,tripel,"10,00%",Brasserie les 3 Fourquets,2012-2012
Lusja,bruin,"7,00%",Bierfirma NoordSter bij Brouwerij De Vlier,?-?
Lustem,tarwebier,"7,00%",‘t Hofbrouwerijke voor De Verhuisbrouwerij,2008-heden
Ma Mère Spéciale,donkerblond,"6,00%",Brouwerij De Leite,2011-heden
Maerlant,tripel,"9,00%",Brouwerij Van Steenberge,1957-heden (e 1996-heden)
Maes,pils,"5,20%",Alken-Maes,1946-heden
Maes Nature,tafelbier,"1,50%",Alken-Maes (Heineken),1999-heden
Maes Zero,alcoholvrij bier,"0,00%",Alken-Maes (Heineken),2007-heden
Maes Radler,limonadebier,"2,00%",Alken-Maes (Heineken),?-heden
Mageleno,blond,"7,50%",Huisbrouwerij Sint Canarus,
Malheur 6,goudblond,"6,00%",Brouwerij De Landtsheer,?-heden
Malheur 8,blond,"8,00%",Brouwerij De Landtsheer,?-heden
Malheur 10,blond,"10,00%",Brouwerij De Landtsheer,?-heden
Malheur 12,roodbruin,"12,00%",Brouwerij De Landtsheer,?-heden
Malheur Bière Brut,blond,"11,00%",Brouwerij De Landtsheer,?-heden
Malheur Dark Brut,donkerbruin,"12,00%",Brouwerij De Landtsheer,?-heden
Malheur Cuvée Royale,blond,"9,00%",Brouwerij De Landtsheer,2005-heden
Maltosa,"bruin, tafelbier","1,20%",Brouwerij Haacht,?-heden
Mamouche,lambiek,"5,00%",Brouwerij Cantillon,?-heden
Maneblusser,blond,"6,00%",Brouwerij Het Anker,2009-heden
Manneken Pils,pils,"5,20%",Brouwerij Lefebvre,2004-heden
Mano Negra,imperial stout,"10,00%",Brouwerij Alvinne,
Manten,hoge gisting,"6,00%",Brouwerij Gulden Spoor,2007-heden
Marckloff,hoge gisting,"6,50%",Brasserie La Ferme au Chêne,1989-heden
*Maredsous blond*,blond,"6,00%",brouwerij du Faleau later door brouwerij Caulier,1949-1964
*Maredsous bruin*,bruin,"8,00%",brouwerij du Faleau later door brouwerij Caulier,1949-1964
Maredsous blond,blond,"6,00%",Brouwerij Duvel Moortgat,1964-heden
Maredsous bruin,bruin,"8,00%",Brouwerij Duvel Moortgat,1964-heden
Maredsous tripel,tripel,"10,00%",Brouwerij Duvel Moortgat,1972-heden
Mariënrode Double,bruin,"8,00%",Brouwerij Anders! voor Halen Breweries,?-?
Mariënrode Quadruple,bruin,"12,00%",Brouwerij Anders! voor Halen Breweries,?-?
Mariënrode Triple,tripel,"9,10%",Brouwerij Anders! voor Halen Breweries,?-?
Maris Otter Aperitiefbier,blond,"5,00%",De Proefbrouwerij,2009-heden
*Margriet*,etiketbier,"6,50%",Brouwerij Het Anker,2005-?
Martens Pils,pils,"5,00%",Brouwerij Martens (Bocholt),
*Martin’s Blond*,hoge gisting,"6,00%",Group John Martin,?-?
Martin’s IPA,hoge gisting,"9,90%",Group John Martin,2012-heden
Martin’s Pale Ale,hoge gisting,"5,50%",Group John Martin,1949-heden
Martin’s Real Ale,"hoge gisting, ongefiltert","4,50%",Group John Martin,?-heden
Mater Witbier,tarwebier,"5,00%",Brouwerij Roman,1993-heden
Mc Chouffe,donker,"8,00%",Brasserie d'Achouffe (Duvel-Moortgat),1987-heden
Mc Thals,"blond, hoge gisting","9,50%",Brouwerij DijkWaert,2011-heden
Melchior,amber,"11,00%",Brouwerij Alvinne,?-heden
Melchior Oak Aged,oak aged,"11,00%",Brouwerij Alvinne,?-heden
Melse God,blond,"6,50%",Brouwerij Huyghe,?-?
*Merck toch hoe sterck*,gerstewijn,"9,00%",De Scheldebrouwerij,1996-2009
*Métisse Saison*,saison,"5,70%",De Lion à Plume bij Brasserie Sainte-Hélène,
Meuuh!,witbier,"5,50%",Brasserie Saint-Monon voor Confrérie du Busson,?-heden
Mistinguett,hoge gisting,"6,50%",Brasserie Sainte-Hélène,?-?
Modeste Bruin,"bruin, biologisch","7,80%",Brouwerij Strubbe voor BioFresh,?-?
Modeste Tripel,"tripel, biologisch","8,40%",Brouwerij Strubbe voor BioFresh,?-?
Moeder Overste,blond,"8,00%",Brouwerij Lefebvre,1985-heden
Moinette Blonde,blond,"8,00%",Brasserie Dupont,1955-heden
Moinette Brune,bruin,"8,50%",Brasserie Dupont,1986-heden
Moinette Biologique,"blond, biologisch","7,50%",Brasserie Dupont,1990-heden
Mokke Blond,blond,"6,50%",Brouwerij Pirlot,
Molse Tripel,tripel,"8,30%",Scheldebrouwerij,
Mongozo Banana,fruitbier,"4,50%",Brouwerij Huyghe,2001-heden
Mongozo Coconut,fruitbier,"3,50%",Brouwerij Huyghe,2005-heden
Mongozo Mango,fruitbier,"3,60%",Brouwerij Huyghe,2008-heden
Mongozo Palmnut,fruitbier,"7,00%",Brouwerij Huyghe,1999-heden
Mongozo Premium Pilsener,"pils, biologisch","5,00%",Brouwerij Huyghe,2010-heden
Mongozo Quinua,fruitbier,"5,90%",Brouwerij Huyghe,2003-heden
Monk's Stout,stout,"5,20%",Brasserie Dupont,?-? en 2010-heden
Mont-Saint-Aubert,tripel,"8,00%",Brasserie de Brunehaut,
Montagnarde,amber,"9,00%",Brasserie de l'Abbaye des Rocs,
*Montagnarde Altitude 6*,blond,"6,00%",Brasserie de l'Abbaye des Rocs,
Morpheus Dark,hoge gisting,"10,20%",Brouwerij Alvinne,?-heden
Morpheus Extra RA,hoge gisting,"7,10%",Brouwerij Alvinne,2005-heden
Morpheus Tripel,"hoge gisting, tripel","8,70%",Brouwerij Alvinne,2004-heden
Morpheus Wild,Vlaams oud bruin,"5,90%",Brouwerij Alvinne,?-?
*Mort Subite Cassis*,fruitbier,"4,50%",Brouwerijen Alken-Maes,?-2005
Mort Subite Faro,faro,"4,00%",Alken-Maes,2004-heden
*Mort Subite Framboise*,fruitbier,"5,00%",Alken-Maes,?-heden
*Mort Subite Gueuze*,geuze,"4,50%",Alken-Maes,?-heden
*Mort Subite Kriek*,fruitbier,"4,50%",Alken-Maes,?-heden
Mort Subite Original Gueuze,geuze,"4,50%",Alken-Maes,?-?
Mort Subite Original Kriek,fruitbier,"4,50%",Alken-Maes,?-?
Mort Subite Oude Gueuze,oude geuze,"7,00%",Alken-Maes,?-heden
Mort Subite Oude Kriek,oude kriek,"6,50%",Alken-Maes,?-heden
*Mort Subite Pêche*,fruibier,"4,50%",Alken-Maes,?-2005
Mort Subite Xtreme Framboise,fruitbier,"4,30%",Alken-Maes,2005-heden
Mort Subite Xtreme Kriek,fruitbier,"4,30%",Alken-Maes,2002-heden
*Mort Subite Xtreme Manzana*,fruitbier,"4,20%",Alken-Maes,?-2005
Mort Subite Witte Lambic,lambiek,"5,00%",Alken-Maes,?-heden
Motuecha,hoge gisting,"5,00%",De Struise Brouwers,?-?
Moulin de Hollange – Blonde d’Epeautre,"hoge gisting, speltbier","6,00%",Brasserie Millevertus,?-?
Mouten Kop,koperkleurig India Pale Ale,"6,00%",Brouwerij De Graal voor De Hopjutters,2010-heden
Mug,hoge gisting,"5,00%",De Scheldebrouwerij,1988-heden
Myn's Pils,pils,"5,00%",Brasserie de Silly,1956-heden
Mystic Krieken,"hoge gisting, fruitbier","3,50%",Brouwerij Haacht,
Mystic Limoen,"hoge gisting, fruitbier","3,50%",Brouwerij Haacht,?-?
Mystic Perzik,"hoge gisting, fruitbier","3,70%",Brouwerij Haacht,2011-heden
Mystic Radler,"hoge gisting, fruitbier",,Brouwerij Haacht,2015-heden
n Maurootje,donkerblond,"7,00%",Brouwerij Alvinne,2006-heden
n Peerdevisscher,bruin,"6,50%","Brouwerij Callewaert, nu Brouwerij Strubbe",1987-heden
*'n Slypke*,"roodbruin, etiketbier","6,00%",Brouwerij Van Eecke,1955-heden (e ?-2002)
n Toeback,hoge gisting,"9,50%",Scheldebrouwerij,2009-heden
Naked Ladies,hoge gisting,"4,40%",Brouwerij Alvinne,
Napoleon,donker,"7,00%",Affligem Brouwerij (Brouwerij De Smedt),?-heden
Ne Flierefluiter,tripel,"6,80%",Brouwerij De Smedt in opdracht van bierfirma Fisser,?-heden (e 1985-2001)
Ne Flierefluiter,tripel,"8,50%",Brouwerij De Smedt in opdracht van bierfirma Fisser,2001-heden
*Ne Janneman*,"hoge gisting, blond","8,50%",Brasserie D'achouffe in opdracht van drankenservice Pelgrims,1991-?
*Ne Janneman*,"hoge gisting, blond",,Brasserie La Rochefortoise in opdracht van drankenservice Pelgrims,?-2002
*Ne Janneman*,"hoge gisting, blond","8,50%",brouwerij Dupont in opdracht van drankenservice Pelgrims,1955-heden (e 2002-?)
Ne Janneman,"hoge gisting, blond","7,00%",Brouwerij Kerkom in opdracht van drankenservice Pelgrims,?-heden
Ne Kopstoot,"hoge gisting, goudkleur","7,00%",Brasserie de Brunehaut,?-heden
Ne Snoeper,tripel,"10,00%",t Hofbrouwerijke,?-heden
Nelle van Cruysem,"hoge gisting, amber","6,00%",Huisbrouwerij Sint Canarus,2013-heden
Nello's Blond,blond,"7,00%",De Proefbrouwerij voor Brouwerij De Arend (Hoboken),2003-heden
Nello's Tripel,tripel,,De Proefbrouwerij voor Brouwerij De Arend,?-heden
Nen Bangelijke,sterk blond,"8,00%",Brouwerij 't Pakhuis,?-heden
*Nen Biskop*,blond,"6,40%",Brouwerij Danny voor Stichting Marcel De Bisschop,2008-heden (e 2008-2008)
Nen Kerstbal,kerstbier,"8,00%",voor bierfirma Vacas,?-heden
Nen Uts,speciale belge,"7,00%",Brouwerij De Graal voor De Hoevebrouwers,?-heden
Netebuk,sterk blond,"6,50%",Brouwerij Gulden Spoor,?-heden
Neuzebier Tripel,blonde tripel,"6,90%",Brouwerij Anders! voor brouwerij De Neus,1984-heden
Neuzebier Tripel Bruin,donkere tripel,"8,00%",Brouwerij Anders! voor brouwerij De Neus,2014-heden
Newton,fruitbier,"3,50%",Brouwerij Lefebvre,1998-heden
N'Ice Chouffe,donker seizoensbier,"10,00%",Brasserie d'Achouffe (Duvel-Moortgat),1993-heden
Nivoo Bruin,hoge gisting,"8,00%",Brouwerij Anders! voor *GIBRIT*,
Nivoo Tripel,tripel,"7,00%",Brouwerij Anders! voor *GIBRIT*,
Noblesse,"hoge gisting, blond","5,50%",Brouwerij De Dochter van de Korenaar,2007-heden
Noblesse Extra,"hoge gisting, IPA","7,00%",Brouwerij De Dochter van de Korenaar,?-heden
Noël de Silenrieux,"tripel, kerstbier","9,00%",Brasserie de Silenrieux,1996-heden
Noir de Dottignies,hoge gisting,"9,00%",Brouwerij De Ranke,?-heden
Nondedju,tripel,"10,70%",’t Hofbrouwerijke voor Montaigu,
Nonneke,donker,"8,00%",Brouwerij Anders! voor *Nonneke*,
NOORderbierke,"hoge gisting, amberblond","8,10%",Brouwerij Donum Ignis,?-heden
Norman,blond,"7,00%",Bierfirma NoordSter bij Brouwerij De Vlier,
Nostradamus,"hoge gisting, bruin","9,00%",Brasserie Caracole,2000-heden
Notre Passion,porter,"8,00%",’t Hofbrouwerijke voor Montaigu,?-heden
Nounnette,blond,"7,50%",Brasserie de l'Abbaye des Rocs,?-heden
Novice Blue,goudblond,"8,50%",Brouwerij De Landtsheer,?-heden
Novice Tripel Black,"bruin, tripel","8,50%",Brouwerij De Landtsheer,?-heden
Nuits Blanches,,"7,50%",Brasserie de l'Abbaye des Rocs,?-heden
Odlo Blond,hoge gisting,"6,70%",Brouwerij De Graal voor (T)Huisbrouwerij Odlo,2011-heden
Odlo Hivernum,"winterbier, Belgian Imperial Stout","8,70%",Brouwerij Lupus voor (T)Huisbrouwerij Odlo,2011-heden
Odlo Triviaal,tripel,"8,20%",Brouwerij De Graal voor (T)Huisbrouwerij Odlo,?-heden
Oeral,India Pale Ale,"6,00%",De Dolle Brouwers,1986-?
Oerbier,hoge gisting,"7,50%",De Dolle Brouwers,1980-heden
Oerbier special Reserva,hoge gisting,"13,00%",De Dolle Brouwers,?-?
Oesterstout,stout,"8,50%",De Scheldebrouwerij,1999-heden
Omer.,"hoge gisting, blond","8,00%",Brouwerij Bockor,2008-heden
Ommegang,"strogeel, hoge gisting","8,00%",Brouwerij Haacht,2011-heden
Ondineke,tripel,"8,50%",Brouwerij De Glazen Toren,
Op-Ale,ale,"5,00%",Affligem Brouwerij (Brouwerij De Smedt),
Opitter,export,,Brouwerij Sint-Jozef,
Ops-Ale,blond,"5,50%",Brouwerij Sint-Jozef,?-?
Orval,trappist,"6,20%",Abdij Notre-Dame d'Orval,?-heden
Orvélo,tripel,"7,50%",De Proefbrouwerij voor bierfirma Half Zeven,
Oudbeitje,aardbeienlambiek,"6,00%",Hanssens Artisanaal,
Oud Bier,tafelbier,"2,10%",Brouwerij Strubbe,
Oud Tassels,tripel,"8,50%",Brouwerij Boelens voor Bier- en Wijnhandel De Neys-Asselman,2009-heden
Oud Kriekenbier,fruitbier,"6,00%",Brouwerij Strubbe,
Oud Zottegems Bier,hoge gisting,"6,50%",Brouwerij Strubbe,
Oude Geuze 3 Fonteinen,geuze,"7,00%",Geuzestekerij 3 Fonteinen,
Oude Geuze Vintage 3 Fonteinen,geuze,"6,00%",Geuzestekerij 3 Fonteinen,
Oudenaards,Hoge gisting,"5,00%",Brouwerij Roman,
Oudstrijder Blond,"blond, hoge gisting, biologisch","7,20%",Brouwerij Strubbe,2014-heden
Oudstrijder Dobbel-Tripel,"robijnrood, hoge gisting, biologisch","7,80%",Brouwerij Strubbe,2014-heden
Oude Geuze Boon,geuze,"6,50%",Brouwerij Boon,?-heden
Oude Geuze De Cam,geuze,"6,00%",Geuzestekerij De Cam,
Oude Geuze Oud Beersel,geuze,"6,00%",Brouwerij Oud Beersel,?-heden
Oude Gueuze Hanssens,geuze,"6,00%",Hanssens Artisanaal,
Oude Gueuze Tilquin à l'ancienne,geuze,"6,00%",Gueuzerie Tilquin,
