BeerBrand,BeerType,AlcoholPercentage,Brewery,
Boerinneken,"hoge gisting, blond","9,50%",De Proefbrouwerij voor Verstraeten H&S,?-heden
*Boerke Amber*,amber,"6,80%",Brouwerij Angerik,1998-?
Boerke Blond,blond,"6,80%",Brouwerij Angerik,1998-heden
Boerke Bruin,bruin,"6,80%",Brouwerij Angerik,1998-heden
*Boerke Donker*,,"5,50%",Brouwerij Angerik,1998-?
Boerke Krieken,fruitbier,"6,50%",Brouwerij Angerik,2004-heden
Boerken,"hoge gisting, bruin","9,50%",De proefbrouwerij voor Verstraeten H&S,
Bokkereyer,lage gisting,"6,00%",Brouwerij Sint-Jozef,
*Bolivar Blond*,blond,"7,50%",Brouwerij Huyghe voor Oxfam wereldwinkels,2004-2013
*Bolivar Bruin*,bruin,"7,50%",Brouwerij Huyghe voor Oxfam wereldwinkels,2004-2013
Bolleville Calvados Barrel OA,oak aged,"10,00%",Brouwerij Alvinne,
Bokrijks,"blond, abdijbier","7,20%",Brouwerij du Bocq,
Bon Homme,"hoge gisting, donkerbruin","6,50%",Brouwerij De Leite,
Bon Secours Ambrée,"hoge gisting, amber","8,00%",Brouwerij Caulier,
Bon Secours Blonde,"hoge gisting, blond","8,00%",Brouwerij Caulier,
Bon Secours Brune,"hoge gisting, bruin","8,00%",Brouwerij Caulier,
Bon Secours Framboise,"hoge gisting, frambozenbier","7,00%",Brouwerij Caulier,
Bon Secours Myrtille,"hoge gisting, bosbessenbier","7,00%",Brouwerij Caulier,
Bon Secours Noël,"hoge gisting, blond kerstbier","10,00%",Brouwerij Caulier,
Boneffe,abdijbier,"9,00%",Brasserie de Tubize,
Bootjes Bier,amber,"7,00%",Brouwerij Roman voor Antwerpse Brouw Compagnie,2015-heden
Bons Voeux,blond,"9,50%",Brouwerij Dupont,1980-heden
Bornem Dubbel,abdijbier,"8,00%",Brouwerij Van Steenberge,1957-heden
Bornem Tripel,abdijbier,"9,00%",Brouwerij Van Steenberge,1957-heden
Bos Bier,fruitbier,"9,00%",Brouwerij DijkWaert,2010-heden
Bosbier,fruitbier-pils,"4,00%",Brouwerij Sint-Jozef,1989-heden
Boscoli,fruitbier,"3,50%",Brouwerij Het Anker,2009-heden
Boskeun,lichtblond,"7,00%",De Dolle Brouwers,
Bosprotter,tripel,"8,50%",t Hofbrouwerijke,
Bourgogne des Flandres Blond,"hoge gisting, blond","6,00%",Brouwerij Verhaeghe nu Brouwerij Timmermans,1911-heden
Bourgogne des Flandres Bruin,oud bruin,"5,00%",Brouwerij Verhaeghe nu Brouwerij Timmermans,1911-heden
Bras,bruin,"10,00%",Brouwerij Den Tseut,2012-heden
*Brasserie des Rocs Triple Impériale*,,"10,00%",Brasserie de l'Abbaye des Rocs,
Brave Broeder,hoge gisting (etiketbier),"5,00%",Brasserie de Silly,?-heden
Bravoure,"hoge gisting, rookbier, amber","6,50%",Brouwerij De Dochter van de Korenaar,2007-heden
Bremserbier,amber,"6,00%",Huisbrouwerij de 3 vaten,
Brice,blond,"7,50%",Brasserie Grain d'Orge,2003-heden
Briekebakker,tripel,"8,70%",Brouwerij Alvinne,2004-heden
Brigand,blond,"9,00%",Brouwerij Van Honsebrouck,1980-heden
*Brigand IPA*,India Pale Ale,"6,50%",Brouwerij Van Honsebrouck,2008-2009
Broeder Jacob Bruin,bruin,"7,50%",Brasserie du Bocq voor *Broeder Jacob bvba*,2010-heden
Broeder Jacob Double Expresso,bruin,"7,70%",Brasserie du Bocq voor *Broeder Jacob bvba*,?-heden
Broeder Jacob Double Port,donkerbruin,"9,00%",Brasserie du Bocq voor *Broeder Jacob bvba*,?-heden
Broeder Jacob Formidabel,blond,"5,50%",Brasserie du Bocq voor *Broeder Jacob bvba*,?-heden
Broeder Jacob Tripel,tripel,"7,50%",Brasserie du Bocq voor *Broeder Jacob bvba*,?-heden
Bruegel,amber,"5,00%",Brouwerij Van Steenberge,?-heden
Brugge Blond,"speciaalbier, hoge gisting","6,50%",Brouwerij Palm (vroeger in Brouwerij De Gouden Boom),?-heden
Brugge Tripel,"speciaalbier, hoge gisting","8,70%",Brouwerij Palm (vroeger in Brouwerij De Gouden Boom),1987-heden
Brugs (Tarwebier),witbier,"4,80%",Alken-Maes (Heineken) (vroeger in Brouwerij De Gouden Boom),1983-heden
*Brugs Beertje 20*,blond,"6,50%",Brouwerij De Regenboog,
*Brugs Beertje 25*,amber,"9,00%",Brouwerij De Regenboog,
*Brugse Babbelaar*,blond,"6,50%",De Proefbrouwerij,
